stop_name,stop_id,published_line,bus_id,scheduled_arrival,predicted_arrival,actual_arrival,scheduled_delay_minutes,prediction_error_minutes,initial_distance,date,day_of_week,hour_of_day,timestamp
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5784,2025-04-17 07:56:08,2025-04-17 08:33:43,2025-04-17 08:07:55,37.5931,-25.7991,4 stops away,2025-04-17,Thursday,7,2025-04-17 08:07:55
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_418,2025-04-11 16:45:21,2025-04-11 16:53:47,2025-04-11 16:28:20,8.4417,-25.4421,9 stops away,2025-04-11,Friday,16,2025-04-11 16:28:20
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6226,2025-04-20 09:40:27,2025-04-20 10:07:07,2025-04-20 09:59:38,26.6714,-7.4841,2 stops away,2025-04-20,Sunday,9,2025-04-20 09:59:38
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5617,2025-04-09 17:16:10,2025-04-09 17:28:09,2025-04-09 17:24:40,11.9956,-3.4943,18 stops away,2025-04-09,Wednesday,17,2025-04-09 17:24:40
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6156,2025-04-07 07:56:44,2025-04-07 08:16:43,2025-04-07 08:23:04,19.9877,6.3523,18 stops away,2025-04-07,Monday,7,2025-04-07 08:23:04
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5508,2025-04-15 08:08:02,2025-04-15 08:17:49,2025-04-15 07:56:09,9.7988,-21.6776,2 stops away,2025-04-15,Tuesday,8,2025-04-15 07:56:09
5 AV/UNION ST,308207,B63,MTA NYCT_771,2025-04-17 07:49:35,2025-04-17 08:03:20,2025-04-17 07:17:05,13.7506,-46.238,14 stops away,2025-04-17,Thursday,7,2025-04-17 07:17:05
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_771,2025-04-20 11:51:51,2025-04-20 12:04:22,2025-04-20 11:55:25,12.517,-8.9479,14 stops away,2025-04-20,Sunday,11,2025-04-20 11:55:25
5 AV/9 ST,308204,B63,MTA NYCT_407,2025-04-19 20:51:42,2025-04-19 21:01:44,2025-04-19 20:42:04,10.0435,-19.6651,8 stops away,2025-04-19,Saturday,20,2025-04-19 20:42:04
5 AV/UNION ST,308207,B63,MTA NYCT_772,2025-04-13 19:54:30,2025-04-13 19:52:28,2025-04-13 19:28:46,-2.0307,-23.6882,15 stops away,2025-04-13,Sunday,19,2025-04-13 19:28:46
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5528,2025-04-19 19:14:01,2025-04-19 19:21:06,2025-04-19 18:49:09,7.0869,-31.9402,13 stops away,2025-04-19,Saturday,19,2025-04-19 18:49:09
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5528,2025-04-08 21:17:22,2025-04-08 21:28:29,2025-04-08 21:22:38,11.1291,-5.8559,13 stops away,2025-04-08,Tuesday,21,2025-04-08 21:22:38
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5587,2025-04-08 19:16:11,2025-04-08 19:44:42,2025-04-08 19:33:53,28.5326,-10.8178,9 stops away,2025-04-08,Tuesday,19,2025-04-08 19:33:53
5 AV/9 ST,308204,B63,MTA NYCT_247,2025-04-12 17:20:27,2025-04-12 17:38:44,2025-04-12 17:22:31,18.2838,-16.2024,17 stops away,2025-04-12,Saturday,17,2025-04-12 17:22:31
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5784,2025-04-16 08:02:45,2025-04-16 07:57:45,2025-04-16 07:42:35,-5.0,-15.1659,17 stops away,2025-04-16,Wednesday,8,2025-04-16 07:42:35
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_388,2025-04-13 09:42:58,2025-04-13 09:58:44,2025-04-13 10:37:24,15.7679,38.6697,11 stops away,2025-04-13,Sunday,9,2025-04-13 10:37:24
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_417,2025-04-15 10:26:20,2025-04-15 10:37:11,2025-04-15 10:29:07,10.8649,-8.0723,10 stops away,2025-04-15,Tuesday,10,2025-04-15 10:29:07
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_263,2025-04-13 16:24:43,2025-04-13 16:39:16,2025-04-13 15:59:24,14.5574,-39.8628,6 stops away,2025-04-13,Sunday,16,2025-04-13 15:59:24
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5503,2025-04-15 19:19:18,2025-04-15 19:41:30,2025-04-15 19:43:10,22.214,1.6663,19 stops away,2025-04-15,Tuesday,19,2025-04-15 19:43:10
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5519,2025-04-14 13:13:32,2025-04-14 13:32:45,2025-04-14 12:58:30,19.2238,-34.2562,6 stops away,2025-04-14,Monday,13,2025-04-14 12:58:30
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_417,2025-04-15 17:39:21,2025-04-15 18:15:59,2025-04-15 17:31:04,36.6356,-44.9047,Unknown,2025-04-15,Tuesday,17,2025-04-15 17:31:04
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6144,2025-04-19 11:01:02,2025-04-19 11:16:01,2025-04-19 11:48:47,14.9883,32.7713,16 stops away,2025-04-19,Saturday,11,2025-04-19 11:48:47
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_469,2025-04-13 19:36:12,2025-04-13 19:37:46,2025-04-13 19:10:56,1.5804,-26.8376,13 stops away,2025-04-13,Sunday,19,2025-04-13 19:10:56
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6144,2025-04-09 17:00:57,2025-04-09 17:20:58,2025-04-09 16:55:29,20.0206,-25.4792,4 stops away,2025-04-09,Wednesday,17,2025-04-09 16:55:29
5 AV/UNION ST,308207,B63,MTA NYCT_403,2025-04-19 21:33:29,2025-04-19 21:30:18,2025-04-19 21:17:11,-3.1806,-13.1101,Unknown,2025-04-19,Saturday,21,2025-04-19 21:17:11
5 AV/9 ST,308204,B63,MTA NYCT_469,2025-04-09 18:42:33,2025-04-09 18:47:45,2025-04-09 18:43:24,5.2056,-4.3522,20 stops away,2025-04-09,Wednesday,18,2025-04-09 18:43:24
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5508,2025-04-20 17:32:27,2025-04-20 17:35:43,2025-04-20 17:54:38,3.2773,18.9214,18 stops away,2025-04-20,Sunday,17,2025-04-20 17:54:38
5 AV/UNION ST,308207,B63,MTA NYCT_439,2025-04-14 09:15:53,2025-04-14 09:24:38,2025-04-14 09:03:05,8.7635,-21.5565,17 stops away,2025-04-14,Monday,9,2025-04-14 09:03:05
5 AV/UNION ST,308207,B63,MTA NYCT_418,2025-04-14 07:18:15,2025-04-14 07:47:22,2025-04-14 07:06:09,29.1223,-41.2074,11 stops away,2025-04-14,Monday,7,2025-04-14 07:06:09
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_248,2025-04-09 08:44:09,2025-04-09 09:05:48,2025-04-09 09:19:28,21.6501,13.6715,3 stops away,2025-04-09,Wednesday,8,2025-04-09 09:19:28
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5511,2025-04-15 13:03:13,2025-04-15 13:02:03,2025-04-15 12:51:27,-1.1636,-10.6003,13 stops away,2025-04-15,Tuesday,13,2025-04-15 12:51:27
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_758,2025-04-13 14:22:19,2025-04-13 14:34:31,2025-04-13 14:36:50,12.209,2.3126,14 stops away,2025-04-13,Sunday,14,2025-04-13 14:36:50
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_439,2025-04-10 09:31:01,2025-04-10 09:33:59,2025-04-10 08:50:51,2.9789,-43.1447,13 stops away,2025-04-10,Thursday,9,2025-04-10 08:50:51
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_469,2025-04-09 22:34:01,2025-04-09 22:45:52,2025-04-09 22:37:42,11.8556,-8.171,19 stops away,2025-04-09,Wednesday,22,2025-04-09 22:37:42
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_431,2025-04-17 13:55:29,2025-04-17 14:10:06,2025-04-17 14:03:00,14.6292,-7.1014,9 stops away,2025-04-17,Thursday,13,2025-04-17 14:03:00
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6144,2025-04-14 10:48:56,2025-04-14 10:55:39,2025-04-14 10:46:04,6.7198,-9.5706,14 stops away,2025-04-14,Monday,10,2025-04-14 10:46:04
5 AV/UNION ST,308207,B63,MTA NYCT_439,2025-04-07 18:03:22,2025-04-07 18:25:51,2025-04-07 17:55:48,22.4867,-30.039,3 stops away,2025-04-07,Monday,18,2025-04-07 17:55:48
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_381,2025-04-10 08:01:39,2025-04-10 08:44:11,2025-04-10 08:39:50,42.5386,-4.347,5 stops away,2025-04-10,Thursday,8,2025-04-10 08:39:50
5 AV/UNION ST,308207,B63,MTA NYCT_758,2025-04-10 13:16:49,2025-04-10 13:19:11,2025-04-10 13:18:47,2.3739,-0.3961,20 stops away,2025-04-10,Thursday,13,2025-04-10 13:18:47
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_403,2025-04-11 07:01:59,2025-04-11 07:08:18,2025-04-11 07:10:43,6.3228,2.4264,13 stops away,2025-04-11,Friday,7,2025-04-11 07:10:43
5 AV/UNION ST,308207,B63,MTA NYCT_431,2025-04-16 17:40:15,2025-04-16 18:13:46,2025-04-16 17:41:26,33.5221,-32.3381,10 stops away,2025-04-16,Wednesday,17,2025-04-16 17:41:26
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_758,2025-04-19 08:34:27,2025-04-19 09:01:43,2025-04-19 08:56:03,27.283,-5.6671,3 stops away,2025-04-19,Saturday,8,2025-04-19 08:56:03
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5587,2025-04-20 14:31:06,2025-04-20 14:48:05,2025-04-20 15:14:30,16.9875,26.4215,12 stops away,2025-04-20,Sunday,14,2025-04-20 15:14:30
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6157,2025-04-09 13:46:33,2025-04-09 13:56:57,2025-04-09 13:26:04,10.4142,-30.8906,9 stops away,2025-04-09,Wednesday,13,2025-04-09 13:26:04
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5519,2025-04-13 19:37:17,2025-04-13 19:39:43,2025-04-13 19:07:29,2.4391,-32.2328,8 stops away,2025-04-13,Sunday,19,2025-04-13 19:07:29
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5784,2025-04-14 09:29:36,2025-04-14 09:47:22,2025-04-14 09:40:09,17.767,-7.2159,13 stops away,2025-04-14,Monday,9,2025-04-14 09:40:09
5 AV/UNION ST,308207,B63,MTA NYCT_439,2025-04-20 13:31:13,2025-04-20 13:43:34,2025-04-20 13:46:51,12.3519,3.2934,9 stops away,2025-04-20,Sunday,13,2025-04-20 13:46:51
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5784,2025-04-16 17:17:35,2025-04-16 17:36:29,2025-04-16 17:53:20,18.9158,16.8369,Unknown,2025-04-16,Wednesday,17,2025-04-16 17:53:20
5 AV/9 ST,308204,B63,MTA NYCT_771,2025-04-18 12:35:48,2025-04-18 12:46:03,2025-04-18 13:30:16,10.2504,44.2252,16 stops away,2025-04-18,Friday,12,2025-04-18 13:30:16
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5519,2025-04-19 08:18:14,2025-04-19 08:41:12,2025-04-19 08:08:05,22.9773,-33.1268,8 stops away,2025-04-19,Saturday,8,2025-04-19 08:08:05
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5519,2025-04-15 15:27:47,2025-04-15 15:31:10,2025-04-15 15:27:01,3.3974,-4.1602,12 stops away,2025-04-15,Tuesday,15,2025-04-15 15:27:01
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6226,2025-04-11 09:07:46,2025-04-11 09:23:40,2025-04-11 09:24:30,15.9008,0.8461,4 stops away,2025-04-11,Friday,9,2025-04-11 09:24:30
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_263,2025-04-10 18:17:46,2025-04-10 18:42:33,2025-04-10 18:26:22,24.7838,-16.1674,17 stops away,2025-04-10,Thursday,18,2025-04-10 18:26:22
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6187,2025-04-20 11:14:23,2025-04-20 11:17:11,2025-04-20 10:29:50,2.8023,-47.348,1 stops away,2025-04-20,Sunday,11,2025-04-20 10:29:50
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_418,2025-04-07 22:35:18,2025-04-07 22:41:23,2025-04-07 22:45:19,6.0932,3.9252,5 stops away,2025-04-07,Monday,22,2025-04-07 22:45:19
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6187,2025-04-20 07:18:30,2025-04-20 07:36:13,2025-04-20 06:54:42,17.7297,-41.5291,11 stops away,2025-04-20,Sunday,7,2025-04-20 06:54:42
5 AV/9 ST,308204,B63,MTA NYCT_418,2025-04-20 14:52:04,2025-04-20 15:03:32,2025-04-20 14:57:16,11.472,-6.261,3 stops away,2025-04-20,Sunday,14,2025-04-20 14:57:16
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_248,2025-04-09 19:19:05,2025-04-09 19:24:04,2025-04-09 19:12:48,4.9872,-11.2686,4 stops away,2025-04-09,Wednesday,19,2025-04-09 19:12:48
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5508,2025-04-16 18:14:49,2025-04-16 18:34:18,2025-04-16 17:55:00,19.4922,-39.3069,15 stops away,2025-04-16,Wednesday,18,2025-04-16 17:55:00
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5528,2025-04-16 23:19:36,2025-04-16 23:30:28,2025-04-16 23:28:00,10.8788,-2.4669,20 stops away,2025-04-16,Wednesday,23,2025-04-16 23:28:00
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_263,2025-04-17 08:42:05,2025-04-17 09:14:38,2025-04-17 09:22:50,32.5589,8.1936,6 stops away,2025-04-17,Thursday,8,2025-04-17 09:22:50
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_403,2025-04-07 12:44:38,2025-04-07 12:45:25,2025-04-07 12:10:33,0.7898,-34.8711,2 stops away,2025-04-07,Monday,12,2025-04-07 12:10:33
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6157,2025-04-11 17:29:04,2025-04-11 17:54:23,2025-04-11 17:50:54,25.3167,-3.4831,9 stops away,2025-04-11,Friday,17,2025-04-11 17:50:54
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_247,2025-04-08 15:41:09,2025-04-08 15:58:01,2025-04-08 17:06:44,16.8779,68.7145,5 stops away,2025-04-08,Tuesday,15,2025-04-08 17:06:44
5 AV/9 ST,308204,B63,MTA NYCT_403,2025-04-19 12:47:52,2025-04-19 13:02:43,2025-04-19 13:12:40,14.8526,9.9616,10 stops away,2025-04-19,Saturday,12,2025-04-19 13:12:40
5 AV/UNION ST,308207,B63,MTA NYCT_469,2025-04-18 09:25:17,2025-04-18 09:56:11,2025-04-18 09:55:41,30.9135,-0.5077,16 stops away,2025-04-18,Friday,9,2025-04-18 09:55:41
5 AV/UNION ST,308207,B63,MTA NYCT_406,2025-04-13 17:38:16,2025-04-13 17:49:14,2025-04-13 17:51:03,10.9803,1.8185,Unknown,2025-04-13,Sunday,17,2025-04-13 17:51:03
5 AV/9 ST,308204,B63,MTA NYCT_418,2025-04-16 06:48:11,2025-04-16 06:54:06,2025-04-16 06:34:24,5.931,-19.7133,15 stops away,2025-04-16,Wednesday,6,2025-04-16 06:34:24
5 AV/UNION ST,308207,B63,MTA NYCT_758,2025-04-13 16:31:05,2025-04-13 16:39:53,2025-04-13 16:27:04,8.8116,-12.8223,14 stops away,2025-04-13,Sunday,16,2025-04-13 16:27:04
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5586,2025-04-08 19:21:26,2025-04-08 19:53:36,2025-04-08 18:58:38,32.1746,-54.9683,10 stops away,2025-04-08,Tuesday,19,2025-04-08 18:58:38
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5528,2025-04-19 15:29:05,2025-04-19 15:44:54,2025-04-19 14:55:27,15.8332,-49.4642,11 stops away,2025-04-19,Saturday,15,2025-04-19 14:55:27
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5528,2025-04-15 19:00:42,2025-04-15 19:09:11,2025-04-15 19:18:08,8.4886,8.9536,15 stops away,2025-04-15,Tuesday,19,2025-04-15 19:18:08
5 AV/UNION ST,308207,B63,MTA NYCT_263,2025-04-15 11:48:31,2025-04-15 12:01:33,2025-04-15 11:23:39,13.0464,-37.8966,2 stops away,2025-04-15,Tuesday,11,2025-04-15 11:23:39
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6156,2025-04-09 20:28:56,2025-04-09 20:35:21,2025-04-09 20:35:27,6.4199,0.1022,4 stops away,2025-04-09,Wednesday,20,2025-04-09 20:35:27
5 AV/9 ST,308204,B63,MTA NYCT_403,2025-04-11 16:35:26,2025-04-11 16:44:52,2025-04-11 16:34:57,9.4378,-9.9122,Unknown,2025-04-11,Friday,16,2025-04-11 16:34:57
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6187,2025-04-17 19:31:59,2025-04-17 19:44:52,2025-04-17 19:16:11,12.8874,-28.6821,17 stops away,2025-04-17,Thursday,19,2025-04-17 19:16:11
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5503,2025-04-20 14:30:15,2025-04-20 14:58:28,2025-04-20 14:57:35,28.2235,-0.8855,5 stops away,2025-04-20,Sunday,14,2025-04-20 14:57:35
5 AV/UNION ST,308207,B63,MTA NYCT_386,2025-04-18 19:55:04,2025-04-18 19:50:21,2025-04-18 19:39:47,-4.7137,-10.5609,14 stops away,2025-04-18,Friday,19,2025-04-18 19:39:47
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_5528,2025-04-07 09:19:53,2025-04-07 09:30:11,2025-04-07 09:34:02,10.3122,3.8394,16 stops away,2025-04-07,Monday,9,2025-04-07 09:34:02
